txn_id,value_date,narration,credit,debit,balance
txn_brnTP3fAbnFbmO,2024-01-01,IMPS/KKBK0268310679883/RZPY,27569.78,,127569.78
txn_nKYaXRvj7uff0L,2024-01-01,IMPS/SBIN0633229661713/RZPY,17400.63,,144970.41
txn_TH8xIZM1JRcore,2024-01-01,IMPS/KKBK0237088409572/RZPY,3616.37,,148586.78
txn_grNwwmq6OLkTkx,2024-01-01,NEFT-SBIN0394225258329-RAZORPAY SOFTWARE PVT,29418.41,,178005.19
txn_NIQ0Wobtqn62tO,2024-01-02,IMPS/KKBK0478116535425/RZPY,458844.25,,636849.44
txn_y4CqpIqK3yn9Ff,2024-01-02,NEFT-AXISP61877...,61894.64,,698744.08
txn_cgMXAdx9G81aSQ,2024-01-03,NEFT-XXXXXXXXXXXX-MISC SETTLEMENT CREDIT,41256.10,,740000.18
txn_NbrnTP3fAbnFbm,2024-01-03,IMPS/SBIN0098830890407/RZPY,25698.76,,765698.94
txn_0LYTH8xIZM1JRc,2024-01-03,IMPS/HDFCR145284257239/RZPY,18491.43,,784190.37
txn_fEeVVhDIq2AnHT,2024-01-03,IMPS/ICICR451235220629/RZPY,33862.48,,818052.85
txn_OHnKYaXRvj7uff,2024-01-04,IMPS/SBIN0098830890407/RZPY,31253.94,,849306.79
txn_oreogrNwwmq6OL,2024-01-04,IMPS/HDFCR145284257239/RZPY,12792.57,,862099.36
txn_1eoPni6JDWYlgA,2024-01-04,NEFT-SBIN0348066078115-RAZORPAY SOFTWARE PVT,56863.32,,918962.68
txn_CTP9gyv1plBArp,2024-01-04,NEFT-SBIN0348066078115-RAZORPAY SOFTWARE PVT,22442.44,,941405.12
txn_9qWCA79ISjs8JH,2024-01-04,NEFT-KKBK0641207030495-RAZORPAY SOFTWARE PVT,71030.00,,1012435.12
txn_t9OBGhnuKoneNo,2024-01-05,NEFT-ICICR026219547810-RAZORPAY SOFTWARE PVT,35564.85,,1047999.97
txn_dKF0j7elKPoh3p,2024-01-05,IMPS/AXISP901562182564/RZPY,89029.86,,1137029.83
txn_KMzKG5mSoyPstU,2024-01-05,NEFT-KKBK053263...,37640.99,,1174670.82
txn_C99enq522wjZRL,2024-01-06,NEFT-KKBK0990229883187-RAZORPAY SOFTWARE PVT,20918.01,,1195588.83
txn_OaYsP6ihgIqLSm,2024-01-07,IMPS/KKBK0985659182871/RZPY,38996.39,,1234585.22
txn_qE40fAraVNqTIA,2024-01-07,IMPS/ICICR672624980420/RZPY,32708.94,,1267294.16
txn_e24HZKjht3X13n,2024-01-07,NEFT-HDFCR627540089585-RAZORPAY SOFTWARE PVT,20148.57,,1287442.73
txn_gW2zMj518Y2bTu,2024-01-08,NEFT-HDFCR403990366358-RAZORPAY SOFTWARE PVT,55459.84,,1342902.57
txn_X1YqWg21nYCsXo,2024-01-08,IMPS/KKBK0792171419746/RZPY,42590.73,,1385493.30
txn_lu17rNy8H6h8l7,2024-01-08,NEFT-HDFCR271882843720-RAZORPAY SOFTWARE PVT,32020.18,,1417513.48
txn_gATtLFxJpRa5HS,2024-01-08,NEFT-HDFCR320735683082-RAZORPAY SOFTWARE PVT,36585.14,,1454098.62
txn_PwePut0Sstzysh,2024-01-09,IMPS/KKBK0921473653527/RZPY,19705.90,,1473804.52
txn_6P3MsHarAJOCBn,2024-01-09,NEFT-AXISP586971499661-RAZORPAY SOFTWARE PVT,10193.83,,1483998.35
txn_3XkfFNuYUPnmbp,2024-01-09,NEFT-ICICR563651637154-RAZORPAY SOFTWARE PVT,75507.48,,1559505.83
