order_id,payment_id,amount,currency,status,captured_at,customer_ref,method
order_SOZM4OtBJTfsUk,pay_JQUdLE4rXLvNMQ,16751.29,INR,captured,2023-12-31T10:50:34+05:30,cust_83521999,upi
order_i6sEg3iCPU6zUj,pay_Y6gob2I4ndZ4sz,11145.84,INR,captured,2023-12-31T14:41:06+05:30,cust_86926242,card
order_OsNb90AgSB3tjh,pay_aqhAhdBwKCnMT4,10129.57,INR,captured,2023-12-31T17:40:37+05:30,cust_53954607,card
order_8LvJnOng0wVJY0,pay_ffTYIKIuhvPU1S,3976.24,INR,captured,2023-12-31T20:52:39+05:30,cust_66098217,netbanking
order_Gtn9dm6VVrhEAi,pay_jUdfBALznFvgQK,3713.35,INR,captured,2023-12-31T16:45:14+05:30,cust_58808009,netbanking
order_veCcwrN8fKxJ7T,pay_IJQ2N9u8tBDNXK,20874.77,INR,refunded,2023-12-31T08:28:58+05:30,cust_86341018,upi
order_6Eoie0gVZ2cuVi,pay_xXYPZTQGOAwwln,3703.37,INR,captured,2023-12-31T14:09:10+05:30,cust_16697037,upi
order_6nBvbdFo9xb50O,pay_ipN2Ig00rVq4jB,13525.92,INR,captured,2023-12-30T20:09:08+05:30,cust_09487469,netbanking
order_b2cxxUweoOgKUi,pay_JSsavJlPGw7HWF,839.34,INR,captured,2023-12-30T13:34:21+05:30,cust_81746680,card
order_9lsgusBSkBBT4M,pay_XByB7vlQwXqfAA,14071.93,INR,captured,2023-12-30T14:17:40+05:30,cust_99063869,upi
order_h0C3BfQ0tveH30,pay_OphTExIqqB9r4E,15540.99,INR,captured,2023-12-30T19:45:59+05:30,cust_71329724,upi
order_3u5c1f6VqnJMb3,pay_Grem7rMMfNKKkM,450000.00,INR,captured,2024-01-01T16:18:41+05:30,cust_94862004,wallet
order_EfyCoKdrL0Prag,pay_d61z73Y5Slj9C2,5000.25,INR,captured,2024-01-01T10:56:16+05:30,cust_77345150,card
order_FEIDbugzt32NLq,pay_cSXGj3i5tyM0KF,5000.25,INR,captured,2024-01-01T18:50:49+05:30,cust_52045773,card
order_rs68VRQEDI5SrJ,pay_9Dx7CHHP1QXqE7,8846.54,INR,captured,2024-01-01T16:24:57+05:30,cust_98982273,card
order_JHS64k2k59yE67,pay_VaI5z52Dm7tO4f,19964.05,INR,captured,2024-01-01T22:18:56+05:30,cust_02693465,upi
order_OQdhtzF3Rth4sM,pay_FfPliupqoU7sSa,17157.49,INR,captured,2024-01-01T11:08:30+05:30,cust_17645456,netbanking
order_UJcvd95e5bzVV8,pay_mKfFYCFCdCYSyY,18682.13,INR,captured,2024-01-01T18:26:23+05:30,cust_93893665,upi
order_Tyon1dFrYTtLPt,pay_6SgYzV2amgcLRd,6656.26,INR,captured,2024-01-01T12:56:09+05:30,cust_95425571,upi
order_eXKPnm4s4nlTUU,pay_zGypueBxHZdxLc,23738.17,INR,captured,2024-01-01T22:15:44+05:30,cust_62957353,upi
order_iHl397G0eYdaiN,pay_moJpI6uVESTCTv,17664.49,INR,captured,2024-01-01T09:45:09+05:30,cust_05366644,upi
order_NRf0Nu8834o3QJ,pay_e7CpRsZe9ObzxD,11362.41,INR,captured,2024-01-02T12:02:59+05:30,cust_09850939,card
order_QOfMXSfjSNTtga,pay_BZvV7yVbq9Ew6A,14656.39,INR,captured,2024-01-02T12:28:23+05:30,cust_71045510,upi
order_x1BAZOKsLRDlyt,pay_krsWw6SEMCiay0,20833.11,INR,captured,2024-01-02T19:44:40+05:30,cust_45238315,upi
order_NfVOwOc8QyU7Aa,pay_SWe9DyF5QHXw3H,10748.23,INR,captured,2024-01-02T12:14:32+05:30,cust_75623466,card
order_lOyT2BAanrRXJX,pay_SbvgX5TFIuACXN,12743.98,INR,captured,2024-01-02T16:11:23+05:30,cust_34285656,upi
order_mxIOzESBkJXncn,pay_AEH45kkrl0M17E,5932.57,INR,captured,2024-01-02T12:10:49+05:30,cust_47751178,card
order_sJ7F3YiUzdrORi,pay_TQ1LAMWYXJHLk8,10088.23,INR,captured,2024-01-02T10:45:20+05:30,cust_87645244,upi
