settlement_id,settlement_utr,payment_id,type,gross,fee,tax,net,settled_at
setl_ozPf8eGF9IyDN8,AXISP617139656872,pay_xfntgSujc4DZVD,payment,21205.70,63.62,11.45,21130.63,2024-01-01T12:47:01+05:30
setl_eoOgKUivuNZQ8D,AXISP617139656872,pay_xfntgSujc4DZVD,refund,-7270.11,0.00,0.00,-7270.11,2024-01-01T10:51:08+05:30
setl_BBT4MANXdPzFUj,AXISP617139656872,pay_mX2ttyYDcOr1cO,payment,19346.47,58.04,10.45,19277.98,2024-01-01T08:09:54+05:30
setl_WceWwxJLQ6xVJG,AXISP617139656872,pay_mX2ttyYDcOr1cO,refund,-8571.05,0.00,0.00,-8571.05,2024-01-01T14:20:41+05:30
setl_ILft9SGVZe8NBQ,AXISP617139656872,pay_lG4hWRnLR9miek,payment,4908.37,14.73,2.65,4890.99,2024-01-01T13:08:56+05:30
setl_XQsedBEmLtST18,AXISP840957248611,pay_Gsk5n6Grem7rMM,payment,2474.18,49.48,8.91,2415.79,2024-01-01T10:48:23+05:30
setl_IwrxBIZMLhfx9I,AXISP840957248611,pay_CqpgrxMp1juJtV,payment,4603.67,13.81,2.49,4587.37,2024-01-01T13:48:09+05:30
setl_pJRlBzzmFLD0TR,KKBK0574539147811,pay_uDCLFuMk9TsuZH,payment,1782.17,5.35,0.96,1775.86,2024-01-01T16:13:35+05:30
setl_uPGtk4vvVSNQLl,KKBK0574539147811,pay_uDCLFuMk9TsuZH,refund,-1782.17,0.00,0.00,-1782.17,2024-01-01T11:17:35+05:30
setl_DQi78jO2DOUrrd,KKBK0574539147811,pay_8srmRtv5XqhPx8,payment,12669.96,38.01,6.84,12625.11,2024-01-01T20:05:41+05:30
setl_yf8D6axBquKJqw,SBIN0535425961877,pay_k2k59yE6752aJg,payment,6714.40,134.29,24.17,6555.94,2024-01-01T11:03:42+05:30
setl_KfFYCFCdCYSyYU,SBIN0535425961877,pay_jQ53VQN6wn7DC9,payment,5108.70,15.33,2.76,5090.61,2024-01-01T17:04:02+05:30
setl_SgYzV2amgcLRdT,SBIN0535425961877,pay_d95e5bzVV8OA9x,payment,17921.15,53.76,9.68,17857.71,2024-01-01T14:28:14+05:30
setl_zzGypueBxHZdxL,SBIN0535425961877,pay_1dFrYTtLPtsiOn,payment,22789.16,68.37,12.31,22708.48,2024-01-01T08:55:04+05:30
setl_lVSID1u7a67h9D,SBIN0535425961877,pay_k2k59yE6752aJg,chargeback,-6714.40,500.00,90.00,-7304.40,2024-01-01T11:44:38+05:30
setl_Hl397G0eYdaiNe,ICICR144982519826,pay_IWxHwqFEg8D04w,payment,450000.00,9000.00,1620.00,439380.00,2024-01-02T10:00:13+05:30
setl_IdakEAWJ1fGcn1,ICICR144982519826,pay_FxMPMDEaIaGr8b,payment,5000.25,100.01,18.00,4882.24,2024-01-02T22:36:30+05:30
setl_Ew6AQOfMXSfjSN,ICICR144982519826,pay_q5QrHOl0amiYY5,payment,5000.25,100.01,18.00,4882.24,2024-01-02T19:24:20+05:30
setl_iay0x1BAZOKsLR,ICICR144982519826,pay_atwqilBIzbvfLu,payment,15278.86,45.84,8.25,15224.77,2024-01-02T15:20:11+05:30
setl_YK4gpPkLINO7uX,KKBK0131999541398,pay_N8WurWw5m9lVbT,payment,12374.22,247.48,44.55,12082.19,2024-01-02T09:00:06+05:30
setl_ozlNAbMmKyRmUY,KKBK0131999541398,pay_UIQnxCQQj9Ds5f,payment,11002.27,33.01,5.94,10963.32,2024-01-02T09:36:06+05:30
setl_7EmxIOzESBkJXn,KKBK0131999541398,pay_uCq1GNLLKv0MYR,payment,22668.75,68.01,12.24,22588.50,2024-01-02T08:17:14+05:30
setl_uRrq19Qf7W491h,HDFCR089040771452,pay_VEFJqH9HUVBnAT,payment,19331.44,386.63,69.59,18875.22,2024-01-02T21:08:15+05:30
setl_cMZb5jC9A942s2,HDFCR089040771452,pay_ZVPEJqzCN2fFr6,payment,6283.89,125.68,22.62,6135.59,2024-01-02T22:17:05+05:30
setl_zQ1fgUKx7tirfI,KKBK0425723964512,pay_4kysRoORaDioQa,payment,3606.96,10.82,1.95,3594.19,2024-01-03T17:46:38+05:30
setl_yNHjfe58juKVON,KKBK0425723964512,pay_Q0OsGFUsd37EgE,payment,12100.44,242.01,43.56,11814.87,2024-01-03T12:44:27+05:30
setl_Ta1acw5l7cXSOn,KKBK0425723964512,pay_fACLtTThRRk7GW,payment,10159.17,30.48,5.49,10123.20,2024-01-03T11:26:58+05:30
setl_tm8A78irco0z3C,KKBK0425723964512,pay_exF3lX87eCr0uI,payment,13569.05,40.71,7.33,13521.01,2024-01-03T19:05:37+05:30
setl_Pq9bzCUpCXiaZ8,ICICR055070003524,pay_yKdPis05yZuCo6,payment,5749.97,115.00,20.70,5614.27,2024-01-03T10:12:52+05:30
setl_p9HbxSDWvJtqbL,ICICR055070003524,pay_NNKqYbd3Bh4Zuc,payment,16951.61,50.85,9.15,16891.61,2024-01-03T08:57:51+05:30
setl_a4miS40ubK4W01,ICICR055070003524,pay_9GV98gOqY4d9n0,payment,11933.17,35.80,6.44,11890.93,2024-01-03T09:23:45+05:30
setl_fRN2BqpepgaxT8,ICICR055070003524,pay_uu8TBNEtRI3MwP,payment,16742.48,334.85,60.27,16347.36,2024-01-03T22:26:31+05:30
setl_EdafZMDgmN8DhW,KKBK0195478104447,pay_gD1OQke0st7ekx,payment,10000.00,80.00,14.40,9905.60,2024-01-03T15:31:57+05:30
